lj_id	lj_item	item	source	language	xsampa	ipa	cognacy	notes
1	fire	fire	Lee&Hasegawa2011	OldJapanese	Ci_"	çï	A	/
1	fire	fire	Lee&Hasegawa2011	LateMiddleJapanese	Ci	çi	A	/
1	fire	fire	Hattori1954	OldJapanese	fi	fi	A	/
1	fire	fire	Hirayama1992	Sapporo	Ci	çi	A	/
1	fire	fire	Hirayama1992	Rebun	Ci_"	çï	A	/
1	fire	fire	Hirayama1992	Aomori	s\i_"	ɕï	A	/
1	fire	fire	Hirayama1992	Hirosaki	s\i_"	ɕï	A	/
1	fire	fire	Hirayama1992	Hachinohe	sM_"	sɯ̈	A	/
1	fire	fire	Hirayama1992	Morioka	Ci_"	çï	A	/
1	fire	fire	Hirayama1992	Ashiro	s\i_"	ɕï	A	/
1	fire	fire	Hirayama1992	Sendai	Ci_"	çï	A	/
1	fire	fire	Hirayama1992	Akita	s\M_"	ɕɯ̈	A	/
1	fire	fire	Hirayama1992	Kawabe	s\i_"	ɕï	A	/
1	fire	fire	Hirayama1992	Amarume	F\i_"	ꜰï	A	/
1	fire	fire	Hirayama1992	Koriyama	Ci_"	çï	A	/
1	fire	fire	Hirayama1992	Aizutakada	Ci_"	çï	A	/
1	fire	fire	Hirayama1992	Ibaraki	Ci_"	çï	A	/
1	fire	fire	Hirayama1992	Utsunomiya	Ci_":	çïː	A	/
1	fire	fire	Hirayama1992	Takasaki	Ci	çi	A	/
1	fire	fire	Hirayama1992	Menuma	Ci	çi	A	/
1	fire	fire	Hirayama1992	Tako	Ci	çi	A	/
1	fire	fire	Hirayama1992	Sodegaura	Ci	çi	A	/
1	fire	fire	Hirayama1992	Tokyo	Ci	çi	A	/
1	fire	fire	Hirayama1992	Okutama	Ci	çi	A	/
1	fire	fire	Hirayama1992	Hachijo	Ci	çi	A	/
1	fire	fire	Hirayama1992	Sagamihara	Ci	çi	A	/
1	fire	fire	Hirayama1992	Niigata	Ci	çi	A	/
1	fire	fire	Hirayama1992	Niibo	Ci:	çiː	A	/
1	fire	fire	Hirayama1992	Toyama	Ci:	çiː	A	/
1	fire	fire	Hirayama1992	Gokayama	Ci:	çiː	A	/
1	fire	fire	Hirayama1992	Kanazawa	Ci:	çiː	A	/
1	fire	fire	Hirayama1992	Nanao	Ci:	çiː	A	/
1	fire	fire	Hirayama1992	Fukui	Ci:	çiː	A	/
1	fire	fire	Hirayama1992	Kofu	Ci:	çiː	A	/
1	fire	fire	Hirayama1992	Nagano	Si	ʃi	A	/
1	fire	fire	Hirayama1992	Akiyama	F\e	ꜰe	A	/
1	fire	fire	Hirayama1992	Gifu	Ci	çi	A	/
